# map file
# Format: waterfowl, virus, longitude, latitude
# An influenza variant: "mutated while in the waterfowl creating a new variant that is capable from jumping from waterfowl to seals".  
# http://www.healthmap.org/site/diseasedaily/article/baby-seals-die-new-influenza-variant-not-bird-flu-8112
Blue-Winged Teal,H3N8,47.59317,-101.16843
Blue-Winged Teal,H3N8,47.59317,-101.16843
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Mallard,H3N8,48.398342,-95.996197
Blue-Winged Teal,H3N8,47.59317,-101.16843
Blue-Winged Teal,H3N8,47.59317,-101.16843
Mallard,H3N8,48.9583159,-96.1002826
Mallard,H3N8,48.9583159,-96.1002826
Mallard,H3N8,48.9583159,-96.1002826
Mallard,H3N8,48.9583159,-96.1002826
Mallard,H3N8,48.9583159,-96.1002826
Mallard,H3N8,48.9583159,-96.1002826
Mallard,H3N8,48.92438,-96.20704
Shoveler,H3N8,48.92438,-96.20704
Shoveler,H3N8,48.92438,-96.20704
Shoveler,H3N8,48.92438,-96.20704
Shoveler,H3N8,48.92438,-96.20704
Shoveler,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Mallard,H3N8,48.92438,-96.20704
Blue-Winged Teal,H3N8,29.977355,-93.342841
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
Blue-Winged Teal,H3N8,29.590067,-94.587819
Blue-Winged Teal,H3N8,29.590067,-94.587819
Blue-Winged Teal,H3N8,29.590067,-94.587819
Blue-Winged Teal,H3N8,29.590067,-94.587819
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.48333,-95.88333
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.37031,-95.91084
Mallard,H3N8,48.294592,-96.030433
Mallard,H3N8,48.294592,-96.030433
